WarLength,Loss chance,Avg Time,stdev,Avg transport Loss, stdDev, Avg Cargo Delivered, stdDev, Avg Cargo Lost, stdDev,LegCount, stdDev
6,0.019000001,52560.0,0.0,934.5,6.549407365716784,2.482325E8,6215931.0392096955,4755500.0,142735.49331764533,146.0,0.0
6,0.020000001,52560.0,0.0,943.65,7.220402379806529,2.37875E8,6370169.377240832,4784500.0,155173.0782401584,146.0,0.0
6,0.021000002,52560.0,0.0,951.65,7.154498033074239,2.28417E8,5710948.027116081,4805000.0,152367.28478805482,146.0,0.0
6,0.022000002,52560.0,0.0,957.75,6.679702167958657,2.19526E8,5423756.127105623,4840500.0,128369.32737428485,146.0,0.0
6,0.023000002,52560.0,0.0,963.4,6.451438028190223,2.10862E8,5765496.828913405,4848000.0,136173.26424352487,146.0,0.0
6,0.024000002,52560.0,0.0,968.6,4.805698371944006,2.03355E8,5589600.776630229,4896500.0,130314.39715266752,146.0,0.0
6,0.025000002,52560.0,0.0,973.3,4.9000537053984905,1.96013E8,5228936.794416241,4925500.0,139301.8305694509,146.0,0.0
6,0.026000002,52560.0,0.0,978.45,4.65069321375008,1.89041E8,4841973.1732555395,4964000.0,119225.57125929515,146.0,0.0
6,0.027000003,52560.0,0.0,979.35,4.804329188072818,1.83127E8,5064379.319791997,4991500.0,181202.85230704982,146.0,0.0
6,0.028000003,52560.0,0.0,981.8,3.833371471968933,1.774455E8,5205297.377621541,4952500.0,142122.07502892124,146.0,0.0
6,0.029000003,52560.0,0.0,984.15,2.700389835404862,1.71514E8,5110054.485238416,4892000.0,179754.21816293607,146.0,0.0
6,0.030000003,52560.0,0.0,987.05,2.964260802504253,1.661715E8,4833076.033683768,4959500.0,142587.92301409572,146.0,0.0
6,0.031000003,52560.0,0.0,988.85,3.2811262507992907,1.61369E8,4580883.504763085,4984000.0,133353.50724572953,146.0,0.0
6,0.032,52560.0,0.0,990.0,2.53397960362331,1.56487E8,4831908.307774149,4989000.0,202975.23831349736,146.0,0.0
6,0.033,52560.0,0.0,990.55,2.9285347512832565,1.520665E8,4822899.624652548,5050500.0,156926.9021920045,146.0,0.0
6,0.033999998,52560.0,0.0,992.4,2.036508880671192,1.47313E8,4644147.533809566,4996000.0,130076.9003320728,146.0,0.0
6,0.034999996,52560.0,0.0,993.45,2.163695668842645,1.430955E8,4655410.51952061,5022500.0,158143.00656783968,146.0,0.0
6,0.035999995,52524.0,160.99689437998487,994.9,3.0932864485255127,1.392335E8,4579500.403686893,5107500.0,156772.54727453834,145.9,0.4472135954999579
6,0.036999993,52560.0,0.0,995.05,1.877147892555703,1.358595E8,4329001.920948863,5073000.0,166103.96237233316,146.0,0.0
6,0.03799999,52560.0,0.0,996.5,1.504379571363837,1.323235E8,4161232.4528095988,5054500.0,194948.711203742,146.0,0.0
6,0.03899999,52560.0,0.0,996.65,1.5985190514644287,1.291435E8,3896811.4833594533,5024000.0,145218.52861336796,146.0,0.0
6,0.039999988,52344.0,812.5748548514422,996.7,2.02874085917453,1.260465E8,3748883.7285952624,5029500.0,124751.33160348273,145.4,2.2571523745873394
6,0.040999986,52488.0,321.99378875996973,997.5,1.3954814298487213,1.232205E8,3779812.6868098136,5049500.0,142255.33011936114,145.8,0.8944271909999159
6,0.041999985,52272.0,916.7080692404353,998.2,1.3218806379747876,1.202715E8,3590433.5979171977,5137500.0,161012.42188104618,145.2,2.5464113034456526
6,0.042999983,52380.0,566.2062112730754,998.25,1.25131509768092,1.177425E8,3537780.8610840538,5059000.0,220737.99663378016,145.5,1.5727950313140981
6,0.04399998,52200.0,1311.0702739204692,998.5,0.8885233166386387,1.15269E8,3583993.5091576567,5094000.0,178101.09488714547,145.0,3.6418618720013036
6,0.04499998,51444.0,2466.3768440451477,998.1,1.4832396974191326,1.12787E8,3633197.9533767565,5054000.0,175661.1570759545,142.9,6.851046789014301
6,0.045999978,51192.0,2403.9126002152584,998.75,1.2085223687584248,1.10198E8,3326960.996718208,5050500.0,132604.47718090462,142.2,6.67753500059794
6,0.046999976,51732.0,1720.959340783965,998.6,1.465390194130093,1.079565E8,3215194.640911708,5126500.0,117977.47331811406,143.7,4.780442613288792
6,0.047999974,50688.0,2758.0496541463576,999.15,0.9333020044867295,1.05677E8,2949480.0612275624,5085000.0,101954.58225163429,140.8,7.661249039295439
6,0.048999973,50292.0,3552.507787316921,999.3,0.978720969859186,1.03417E8,2787098.2835388603,5064000.0,175780.96418105418,139.7,9.868077186991448
6,0.04999997,50472.0,2682.8296138297906,999.3,0.8645047258706176,1.015165E8,2962760.5814776686,5063000.0,188821.8319223874,140.2,7.452304482860531
