WarLength,Loss chance,Avg Time,stdev,Avg transport Loss, stdDev, Avg Cargo Delivered, stdDev, Avg Cargo Lost, stdDev,LegCount, stdDev
6,0.026000002,52560.0,0.0,978.45,4.65069321375008,1.0397255E7,266308.5245290547,273020.0,6557.406419261232,146.0,0.0
6,0.027000003,52560.0,0.0,979.35,4.804329188072818,1.0071985E7,278540.8625885598,274532.5,9966.15687688774,146.0,0.0
6,0.028000003,52560.0,0.0,981.8,3.833371471968933,9759502.5,286291.3557691847,272387.5,7816.714126590669,146.0,0.0
6,0.029000003,52560.0,0.0,984.15,2.700389835404862,9433270.0,281052.9966881129,269060.0,9886.481998961484,146.0,0.0
6,0.030000003,52560.0,0.0,987.05,2.964260802504253,9139432.5,265819.1818526073,272772.5,7842.335765775264,146.0,0.0
6,0.031000003,52560.0,0.0,988.85,3.2811262507992907,8875295.0,251948.59276196972,274120.0,7334.442898515125,146.0,0.0
6,0.032,52560.0,0.0,990.0,2.53397960362331,8606785.0,265754.95692757826,274395.0,11163.638107242354,146.0,0.0
6,0.033,52560.0,0.0,990.55,2.9285347512832565,8363657.5,265259.47935589013,277777.5,8630.979620560249,146.0,0.0
6,0.033999998,52560.0,0.0,992.4,2.036508880671192,8102215.0,255428.1143595261,274780.0,7154.229518264005,146.0,0.0
6,0.034999996,52560.0,0.0,993.45,2.163695668842645,7870252.5,256047.5785736336,276237.5,8697.865361231183,146.0,0.0
6,0.035999995,52524.0,160.99689437998487,994.9,3.0932864485255127,7657842.5,251872.52220277916,280912.5,8622.490100099612,145.9,0.4472135954999579
6,0.036999993,52560.0,0.0,995.05,1.877147892555703,7472272.5,238095.1056521875,279015.0,9135.717930478324,146.0,0.0
6,0.03799999,52560.0,0.0,996.5,1.504379571363837,7277792.5,228867.78490452797,277997.5,10722.179116205809,146.0,0.0
6,0.03899999,52560.0,0.0,996.65,1.5985190514644287,7102892.5,214324.63158476993,276320.0,7987.01907373524,146.0,0.0
6,0.039999988,52344.0,812.5748548514422,996.7,2.02874085917453,6932557.5,206188.60507273945,276622.5,6861.3232381915495,145.4,2.2571523745873394
6,0.040999986,52488.0,321.99378875996973,997.5,1.3954814298487213,6777127.5,207889.69777453973,277722.5,7824.043156564865,145.8,0.8944271909999159
6,0.041999985,52272.0,916.7080692404353,998.2,1.3218806379747876,6614932.5,197473.84788544587,282562.5,8855.683203457538,145.2,2.5464113034456526
6,0.042999983,52380.0,566.2062112730754,998.25,1.25131509768092,6475837.5,194577.94735962298,278245.0,12140.589814857907,145.5,1.5727950313140981
6,0.04399998,52200.0,1311.0702739204692,998.5,0.8885233166386387,6339795.0,197119.64300367108,280170.0,9795.560218793002,145.0,3.6418618720013036
6,0.04499998,51444.0,2466.3768440451477,998.1,1.4832396974191326,6203285.0,199825.8874357216,277970.0,9661.363639177496,142.9,6.851046789014301
6,0.045999978,51192.0,2403.9126002152584,998.75,1.2085223687584248,6060890.0,182982.8548195014,277777.5,7293.246244949754,142.2,6.67753500059794
